score,tvl,audits,category,name,address,contract_name,is_proxy,implementation,owner,owner_type,admin_type,sourcify_verified,listedAt,slug
7,12085513,0,Lending,Alpaca Finance 2.0,0x8f0528ce5ef7b51152a59745befdd91d97091d2f,AlpacaToken,no,,0xa625ab01b08ce023b2a342dbb12a16f2c8489a8f,contract,,yes,2023-05-25,alpaca-finance-2.0
7,3266180,0,Lending,Venus Flux,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,Venus,no,,0x3a3284dc0faffb0b5f0d074c4c704d14326c98cf,Safe,,yes,2026-03-04,venus-flux
7,2030949,0,Launchpad,DeepLock,0x60de5f9386b637fe97af1cc05f25548e9baaee19,DeepLock,no,,,,,yes,2022-01-29,deeplock
7,1121728,0,Yield Aggregator,lisAster,0xFceB31A79F71AC9CBDCF853519c1b12D379EdC46,Lista DAO,no,,,,,yes,2026-05-22,lisaster
7,891734,0,Yield,BTCST,0x78650b139471520656b9e7aa7a5e9276814a38e9,StandardBTCHashrateToken,yes,0x85d4f83b0bf400d3af6fa12c44a28b490689c091,0xad3784cd071602d6c9c2980d8e0933466c3f0a0a,EOA,contract,no,2021-12-18,btcst
7,216091,0,Derivatives,Gambit Financial,,,,,,,,,2023-06-08,gambit-financial
6,23806764,2,RWA,GoldFinger,0xb8a1eD561C914F22BD69b0bb4558ad5A89FeAAE1,Aurum Reserve Token,no,,0x7878cf038bd8e8acebc2f2109a1ccffb09e4bbd4,Safe,,yes,2025-12-02,goldfinger
6,19547798,2,CDP,BitU Protocol,,,,,,,,,2024-06-26,bitu-protocol
6,12323504,2,RWA,Paimon,,,,,,,,,2026-02-17,paimon
6,6275791,0,RWA,Mansory,,,,,,,,,2025-09-08,mansory
6,4996028,0,Dexs,BSCSwap,0xacc234978a5eb941665fd051ca48765610d82584,BSCswap,no,,,,,yes,2021-11-20,bscswap
6,3296385,0,Dexs,Dnax,,,,,,,,,2025-11-14,dnax
6,2197169,2,Yield,Rank Trading,0x978ab3d5a5c39bcbb2a15f2ad324187dd7cbf952,RankToken,no,,,,,yes,2025-04-23,rank-trading
